type: micro, artist_uuid: 1422E730478D4EFFB637B0319A50F2FD, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.micro.jpg, size: 80, result: True
type: extra, artist_uuid: D96658C02F8C4293A16AE37CE2CBC387, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.extra.jpg, size: 1280, result: True
type: large, artist_uuid: D96658C02F8C4293A16AE37CE2CBC387, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.large.jpg, size: 800, result: True
type: medium, artist_uuid: D96658C02F8C4293A16AE37CE2CBC387, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.medium.jpg, size: 640, result: True
type: small, artist_uuid: D96658C02F8C4293A16AE37CE2CBC387, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.small.jpg, size: 128, result: False
type: tiny, artist_uuid: D96658C02F8C4293A16AE37CE2CBC387, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.tiny.jpg, size: 160, result: True
type: micro, artist_uuid: D96658C02F8C4293A16AE37CE2CBC387, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_D96658C02F8C4293A16AE37CE2CBC387.2019.11.08.11.56.27.micro.jpg, size: 80, result: True
type: extra, artist_uuid: 7ED02D0C64CA4E13885370D005B4CA14, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.extra.jpg, size: 1280, result: True
type: large, artist_uuid: 7ED02D0C64CA4E13885370D005B4CA14, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.large.jpg, size: 800, result: True
type: medium, artist_uuid: 7ED02D0C64CA4E13885370D005B4CA14, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.medium.jpg, size: 640, result: True
type: small, artist_uuid: 7ED02D0C64CA4E13885370D005B4CA14, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.small.jpg, size: 128, result: False
type: tiny, artist_uuid: 7ED02D0C64CA4E13885370D005B4CA14, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.tiny.jpg, size: 160, result: True
type: micro, artist_uuid: 7ED02D0C64CA4E13885370D005B4CA14, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_7ED02D0C64CA4E13885370D005B4CA14.2019.12.18.16.04.06.micro.jpg, size: 80, result: True
type: extra, artist_uuid: E6D1BC87FA2E4D2898BDAD55741D3C95, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/515012245914445.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/515012245914445.extra.jpg, size: 1280, result: True
type: large, artist_uuid: E6D1BC87FA2E4D2898BDAD55741D3C95, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/515012245914445.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/515012245914445.large.jpg, size: 800, result: True
type: medium, artist_uuid: E6D1BC87FA2E4D2898BDAD55741D3C95, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/515012245914445.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/515012245914445.medium.jpg, size: 640, result: True
type: small, artist_uuid: E6D1BC87FA2E4D2898BDAD55741D3C95, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/515012245914445.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/515012245914445.small.jpg, size: 320, result: True
type: tiny, artist_uuid: E6D1BC87FA2E4D2898BDAD55741D3C95, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/515012245914445.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/515012245914445.tiny.jpg, size: 160, result: True
